請問您是否為大學生或研究生,性別,出生地,居住地,濾水裝置,飲用水來源,經歷水災,經歷限水,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Attitude_1,Attitude_2,Attitude_3,Attitude_4,Attitude_5,Attitude_6,Attitude_7,Attitude_8,Attitude_9,Behavior_1,Behavior_2,Behavior_3,Behavior_4,Behavior_5,Behavior_6,Behavior_7,Behavior_8,Knowledge_score,Attitude_score,Behavior_score
是,女,中部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,1,0,1,0,1,0,1,0,3,5,4,5,3,5,4,1,1,4,4,4,4,4,3,3,5,4,28,31
是,女,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,1,0,0,0,0,0,1,0,3,5,2,5,4,4,5,5,5,3,3,3,3,2,5,4,4,2,34,27
是,男,南部地區,南部地區,無,自來水,是,是,1,1,0,1,0,0,0,1,0,2,4,4,5,3,5,4,4,5,3,2,4,4,2,2,2,2,4,33,21
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,0,0,1,0,1,0,0,0,3,4,4,3,5,3,5,5,5,3,4,3,3,5,4,5,4,2,32,31
是,女,中部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,1,0,0,1,0,1,1,1,0,2,5,4,2,3,5,5,2,5,3,4,5,2,4,5,5,4,5,30,32
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,地下水,是,是,1,0,0,0,1,0,0,0,0,2,5,2,4,4,2,3,3,4,2,2,2,2,3,3,3,2,2,25,19
是,男,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,0,1,0,1,0,0,0,1,0,1,5,4,5,1,5,5,4,5,1,1,2,1,5,1,1,4,3,34,16
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,加水車,是,是,0,0,0,0,0,0,0,0,0,2,3,3,4,3,5,5,5,5,4,4,4,3,2,3,3,4,0,32,27
是,男,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,加水站,否,是,1,0,1,0,1,0,1,0,0,5,5,4,1,3,3,4,5,5,4,3,4,4,5,5,5,5,4,32,35
是,男,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,0,0,1,1,1,0,1,0,3,4,5,4,3,3,2,4,4,4,3,4,3,4,3,3,3,4,29,27
是,男,北部地區,北部地區,無,市售礦泉水,否,否,0,1,0,0,0,1,0,0,0,1,5,3,5,1,5,5,5,5,1,1,1,3,1,1,1,1,2,34,10
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,0,0,0,0,0,0,1,0,0,3,3,2,3,2,3,3,3,4,4,4,3,3,4,3,3,3,1,24,27
是,女,中部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,1,1,0,1,0,0,0,0,4,3,4,3,3,5,1,3,4,4,4,4,4,3,5,4,5,3,27,33
是,女,中部地區,中部地區,無,加水站,否,是,0,1,0,1,0,0,0,1,0,5,5,5,5,5,5,5,5,5,4,4,5,3,4,5,5,3,3,40,33
是,男,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,0,1,1,1,0,0,1,0,3,5,5,5,4,5,4,4,5,4,3,3,3,5,5,3,4,4,36,30
是,男,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,1,0,0,0,0,1,0,0,0,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,24,25
是,男,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,0,0,1,1,1,0,0,0,5,4,5,4,1,4,1,1,1,5,4,4,4,5,4,5,4,3,25,35
是,女,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,其他,否,是,0,0,0,1,0,0,1,1,0,3,5,4,5,4,4,4,4,4,4,3,5,3,2,4,2,3,3,33,26
是,女,中部地區,中部地區,無,市售礦泉水,否,否,1,1,1,0,0,1,0,1,0,4,5,5,3,4,5,1,5,5,1,1,3,3,3,5,3,5,5,33,24
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,0,0,0,1,0,0,0,1,0,4,3,5,4,3,5,2,1,3,5,5,5,5,5,5,5,5,2,27,40
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,1,0,0,0,1,0,1,0,1,5,5,5,3,5,1,4,5,3,3,5,3,3,4,2,3,3,31,26
是,女,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,其他,否,是,0,1,0,0,1,0,0,1,0,3,5,4,2,3,4,3,4,5,3,3,2,2,4,4,3,3,3,30,24
是,女,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,1,0,0,0,0,0,1,0,3,3,4,3,3,4,3,3,3,3,3,4,3,3,5,3,5,2,26,29
是,女,東部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,0,1,1,0,0,0,1,0,3,3,3,5,3,3,3,3,5,4,3,4,4,5,3,3,4,3,28,30
是,女,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,加水站,是,是,0,0,0,1,0,0,1,0,0,2,4,4,4,3,3,4,3,5,3,3,2,3,2,5,2,2,2,29,22
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,0,0,1,1,1,0,1,0,1,4,5,3,4,4,2,3,4,4,4,4,4,3,4,4,3,4,26,30
是,女,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,0,0,1,0,0,0,0,0,5,4,5,5,2,3,4,4,5,4,4,5,5,3,5,5,2,1,35,33
是,男,南部地區,南部地區,無,市售礦泉水,是,是,0,1,0,1,0,0,0,1,0,5,1,5,1,5,5,2,5,5,2,2,2,5,1,5,5,2,3,29,24
是,女,南部地區,南部地區,無,市售礦泉水,否,是,0,0,0,1,0,1,0,0,0,2,4,4,4,2,5,4,5,5,4,4,4,3,2,5,3,3,2,33,28
是,男,中部地區,中部地區,無,加水車,否,是,1,1,1,1,1,1,1,1,0,2,5,4,5,5,4,4,4,5,4,4,4,5,2,5,3,4,8,33,31
是,女,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,加水站,是,是,0,1,0,1,0,0,0,1,0,3,4,5,1,5,2,4,4,5,4,4,4,3,3,3,4,5,3,28,30
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,0,0,0,0,1,0,1,0,4,4,5,3,5,5,4,3,4,5,5,5,5,5,5,5,5,2,32,40
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,1,0,1,0,0,1,1,0,3,4,5,3,4,3,2,4,4,4,4,5,4,2,4,4,4,4,28,31
是,女,中部地區,中部地區,無,其他,否,否,1,0,0,1,0,0,0,0,0,3,5,5,5,3,3,5,5,5,2,3,3,3,5,2,2,2,2,36,22
是,女,中部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,1,0,0,0,1,1,1,0,2,4,4,4,3,4,3,3,4,4,4,4,4,3,3,3,4,4,28,29
是,男,中部地區,中部地區,無,自來水,否,是,1,1,0,1,1,1,0,1,0,4,5,5,3,4,5,2,2,4,4,5,5,4,4,4,3,5,6,30,34
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,0,0,0,0,1,0,0,0,0,2,4,4,4,3,4,2,4,4,4,4,4,3,4,4,3,3,1,28,29
是,女,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,其他,否,是,0,0,1,0,1,1,0,1,0,1,4,4,4,3,3,3,4,5,3,3,4,3,3,3,2,4,4,28,25
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,0,0,0,0,1,1,1,0,1,4,2,2,2,4,1,2,4,2,2,4,2,2,4,2,5,3,20,23
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,0,0,1,1,1,0,1,1,0,1,3,4,3,2,5,3,4,5,3,3,5,2,5,5,1,5,5,28,29
是,男,中部地區,中部地區,無,市售礦泉水,否,否,0,1,0,1,0,0,0,1,0,5,5,5,5,1,5,1,1,1,5,5,5,5,5,5,5,5,3,28,40
是,女,中部地區,其他,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,0,0,1,1,0,1,0,1,0,3,3,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,27,32
是,男,中部地區,中部地區,無,加水站,否,是,0,0,0,1,0,1,0,1,0,5,3,3,3,3,4,5,5,5,4,3,3,5,4,5,3,3,3,33,30
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,加水站,否,是,0,1,0,0,0,0,0,1,0,3,5,5,5,3,4,4,4,5,3,3,4,3,4,4,4,3,2,35,28
是,男,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,0,1,1,0,0,0,1,0,4,5,5,5,3,4,3,2,5,3,3,2,4,3,4,2,2,3,33,23
是,女,中部地區,中部地區,無,加水站,否,是,1,1,1,1,1,1,0,0,0,2,4,3,4,2,5,2,3,5,2,2,1,1,1,3,2,4,6,28,16
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,市售礦泉水,否,是,0,0,1,1,1,0,0,1,0,2,5,5,3,2,5,1,2,5,4,4,3,1,1,1,4,4,4,28,22
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,加水站,是,是,0,0,1,1,0,0,0,0,0,4,5,5,5,5,5,3,4,5,4,4,5,3,2,5,4,3,2,36,30
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,加水站,否,是,0,0,0,1,1,1,0,1,0,5,5,5,5,2,4,4,1,5,3,2,2,2,2,2,2,5,4,34,20
是,女,中部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,1,0,1,1,0,0,0,0,3,3,3,3,3,4,3,2,4,4,4,4,4,4,4,4,4,3,25,32
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,其他,否,是,0,0,0,1,0,1,0,1,0,2,4,4,2,3,4,4,4,4,3,3,4,4,4,3,2,2,3,28,25
是,女,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,0,0,1,0,1,0,0,1,0,3,5,5,5,3,3,4,4,4,4,4,5,3,4,4,3,3,3,33,30
是,女,中部地區,北部地區,無,自來水,否,是,0,0,1,0,0,1,0,1,0,4,5,5,4,4,4,4,4,5,4,4,4,4,4,5,4,4,3,35,33
是,女,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,0,0,0,1,0,0,1,1,0,4,5,4,5,5,4,4,3,5,3,3,3,3,4,4,3,5,3,34,28
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,否,0,0,0,1,0,1,0,1,0,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,24
是,女,中部地區,中部地區,無,自來水,否,是,0,1,1,0,0,0,0,0,0,3,5,3,4,3,3,2,4,5,3,3,2,2,3,3,3,5,2,29,24
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,0,0,0,1,1,0,0,1,0,5,4,5,5,4,4,1,5,5,5,5,5,4,4,5,3,1,3,34,32
是,女,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,1,0,0,0,1,0,0,1,0,3,2,5,4,4,4,2,4,5,4,4,4,2,5,4,2,4,3,29,29
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,市售礦泉水,是,是,0,0,0,0,0,0,1,0,0,5,1,5,5,1,5,3,3,5,1,1,1,3,3,3,3,3,1,32,18
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,0,1,0,1,1,0,1,1,0,4,5,5,3,5,5,5,5,5,3,3,4,3,3,5,5,5,5,37,31
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,0,0,0,1,0,0,0,0,0,3,3,2,4,1,5,3,1,1,3,2,2,2,2,5,2,5,1,22,23
是,女,東部地區,南部地區,無,加水站,否,否,0,0,1,1,0,0,0,1,0,2,4,4,5,3,5,4,4,4,3,3,3,4,4,4,3,4,3,32,28
是,女,北部地區,其他,有濾水壺或Ro逆滲透、飲水機等等,市售礦泉水,是,否,0,0,0,1,0,0,0,1,0,3,4,4,5,4,4,2,4,5,3,3,3,2,4,4,4,2,2,31,25
是,男,中部地區,中部地區,無,市售礦泉水,否,是,0,0,0,0,1,1,1,0,0,3,4,4,4,4,3,1,3,4,2,3,4,2,1,5,4,3,3,26,24
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,地下水,否,是,0,0,1,0,0,1,1,0,0,4,4,5,4,4,4,5,3,5,3,2,3,1,4,4,2,4,3,34,23
是,男,南部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,市售礦泉水,否,否,0,0,0,1,0,0,0,1,0,2,5,5,5,1,5,5,5,5,2,4,4,3,3,4,3,1,2,37,24
是,女,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,1,0,1,1,0,0,0,1,0,2,5,3,4,3,5,3,4,5,3,3,3,3,4,5,2,4,4,31,27
是,女,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,市售礦泉水,否,是,0,0,0,1,0,1,0,0,0,2,4,3,3,3,3,4,4,5,3,3,3,3,4,4,2,2,2,28,24
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,加水站,否,是,0,0,1,0,1,0,0,0,0,4,4,4,3,4,4,4,4,4,4,3,4,3,3,4,4,4,2,31,29
是,女,中部地區,北部地區,無,加水站,否,是,0,1,0,0,0,1,0,0,0,4,5,3,2,2,4,5,4,4,3,3,5,3,2,4,2,5,2,31,27
是,女,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,1,1,1,0,1,1,0,0,2,5,3,5,4,2,5,3,5,3,2,2,1,5,5,4,1,5,30,23
是,女,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,0,0,0,0,0,1,1,1,0,3,5,3,2,4,4,4,4,5,3,3,2,2,3,2,2,4,3,30,21
是,男,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,市售礦泉水,是,是,0,0,0,1,0,0,0,0,0,3,4,4,2,3,5,4,5,5,3,3,3,3,3,3,3,3,1,32,24
是,男,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,1,0,0,0,0,0,0,0,0,3,4,3,4,3,4,3,3,4,3,3,3,3,3,4,3,2,1,28,24
是,男,北部地區,北部地區,無,自來水,否,是,1,0,0,1,0,0,1,0,0,1,5,3,4,1,3,1,4,5,1,1,1,1,3,5,2,1,3,26,15
是,女,南部地區,南部地區,無,加水站,是,是,0,1,1,0,0,0,0,1,0,2,5,3,5,3,4,2,4,5,3,3,3,3,3,5,3,5,3,30,28
是,男,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,加水站,否,否,0,0,0,0,1,0,0,0,0,5,5,5,3,5,5,3,2,5,5,5,5,5,5,5,5,5,1,33,40
是,男,南部地區,北部地區,無,其他,否,是,0,1,0,0,0,1,0,1,0,4,4,3,1,5,4,2,5,4,3,3,5,3,2,3,3,3,3,27,25
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,0,0,1,0,0,1,0,0,4,5,5,5,3,4,3,2,5,3,3,3,3,2,5,3,5,2,33,27
是,男,南部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,0,1,1,0,0,1,1,0,0,1,5,5,3,2,5,5,5,5,2,4,2,5,2,4,2,2,4,34,23
是,女,中部地區,中部地區,無,市售礦泉水,否,是,0,1,0,1,0,0,0,0,0,3,3,4,4,2,4,2,2,5,3,3,4,3,5,2,2,2,2,27,24
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,0,0,1,1,1,1,0,1,0,2,4,5,3,2,5,3,2,5,3,3,4,4,3,2,4,2,5,29,25
是,男,其他,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,否,0,0,1,1,1,0,0,1,0,3,3,3,4,4,4,4,4,4,3,3,4,3,3,3,3,3,4,29,25
是,男,中部地區,中部地區,無,自來水,否,是,1,0,1,0,0,1,0,0,0,3,3,3,4,3,4,3,2,3,4,3,3,3,3,4,4,3,3,25,27
是,男,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,1,0,0,1,0,1,0,1,0,2,5,4,5,4,4,1,1,5,1,1,3,2,3,2,2,2,4,27,16
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,0,0,1,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,1,40,24
是,男,南部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,0,0,1,0,0,1,1,0,3,3,4,4,2,3,3,2,3,3,4,4,3,4,3,4,3,3,25,28
是,男,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,1,0,1,0,0,0,0,0,0,1,5,5,1,1,5,1,5,5,4,3,1,1,5,5,1,1,2,28,21
是,女,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,市售礦泉水,否,是,0,0,0,1,0,1,0,1,0,3,5,5,2,4,5,4,4,4,3,3,5,3,2,4,2,5,3,32,27
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,1,0,0,0,1,1,0,1,0,3,4,4,3,3,4,4,4,4,4,4,5,4,4,4,4,4,4,30,33
是,女,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,0,0,0,1,1,0,1,0,2,5,4,5,2,4,1,4,5,4,3,5,3,2,5,2,5,3,30,29
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,1,0,1,0,0,0,1,0,4,5,5,5,4,5,4,4,5,3,3,3,3,2,3,3,2,3,37,22
是,男,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,1,0,1,0,1,0,1,0,1,5,5,5,3,4,1,3,5,3,3,3,1,2,3,5,5,4,29,25
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,加水站,否,否,1,1,0,0,0,1,0,1,0,3,3,5,3,2,5,3,2,4,4,5,5,5,5,5,3,4,4,28,36
是,男,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,0,1,0,1,0,0,1,0,4,4,4,4,2,4,2,2,2,4,4,4,4,4,4,4,4,3,26,32
是,女,南部地區,中部地區,無,加水站,否,是,0,0,1,0,0,1,0,1,0,3,5,5,5,3,3,4,5,5,4,4,4,4,5,4,4,4,3,35,33
是,女,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,0,0,0,0,0,1,0,1,0,3,5,4,5,1,5,3,4,5,4,4,4,4,5,5,2,4,2,34,32
是,女,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,1,0,1,0,1,1,0,0,1,1,4,3,5,5,4,4,5,5,5,3,1,2,5,2,4,4,27,27
是,男,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,1,0,0,1,1,0,1,1,0,1,2,3,1,4,5,1,4,5,3,3,4,3,1,5,3,1,5,22,23
是,男,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,1,1,0,0,1,0,0,0,3,4,4,4,2,4,4,3,4,3,3,3,3,3,3,3,3,3,30,24
是,男,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,1,0,0,1,1,1,1,1,0,1,5,3,4,2,3,4,5,5,1,1,1,1,4,4,1,4,6,30,17
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,1,0,1,0,0,0,0,0,0,4,4,5,5,4,4,1,5,5,4,4,5,4,2,5,4,5,2,33,33
是,女,北部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,0,0,1,1,1,1,0,1,0,2,5,5,5,5,5,5,4,5,4,5,5,4,4,5,5,5,5,36,37
是,女,南部地區,中部地區,無,加水站,否,是,0,0,0,1,0,0,1,1,0,4,4,5,2,4,5,4,5,5,4,4,4,4,3,5,1,5,3,34,30
是,男,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,1,0,0,0,0,1,0,1,0,2,5,5,5,4,5,5,5,5,4,3,4,4,3,4,3,2,3,37,27
是,女,北部地區,北部地區,無,自來水,否,是,1,0,0,1,0,0,0,1,0,4,5,5,5,4,4,3,4,5,3,3,4,3,2,4,4,4,3,35,27
是,女,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,1,1,0,0,1,1,0,0,0,3,4,5,1,4,3,5,5,5,5,5,5,5,5,5,3,5,4,31,38
